^att_main_0^att_main_1^att_main_2^att_main_3^att_main_4^att_main_5^att_main_6^att_main_7^att_main_8^att_main_9^att_main_10^att_main_11^att_main_12^att_main_13^att_main_14^att_main_15^att_build_0^att_build_1^att_build_2^att_build_3^att_equipment_0^att_equipment_1^att_equipment_2^att_equipment_3^att_equipment_4^att_location_0^att_location_1^att_location_2^att_location_3^att_location_4^att_location_5^att_location_6^att_location_7^att_location_8^price
1103963^ 50 m² construidos, 46 m² útiles ^ 1 habitación ^ 1 baño ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^^^ Entreplanta exterior ^ Con ascensor ^^^^^^^^^ Barrio Vírgenes ^ Distrito Centro ^ Leganés ^ Zona sur, Madrid ^^^^^59.000
1338716^ 91 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle Seminario, 11^ Barrio Vírgenes ^ Distrito Centro ^ Leganés ^ Zona sur, Madrid ^^^^^157.900
1610428^ 105 m² construidos, 95 m² útiles ^ 2 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle Nuestra Señora del Pilar, 1^ Barrio Descubridores-Escritores ^ Distrito Centro ^ Leganés ^ Zona sur, Madrid ^^^^^270.000
1648062^ 80 m² construidos, 70 m² útiles ^ 2 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur, oeste ^ Certificación energética: no indicado ^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Calle Ancha, 17^ Barrio Valdepelayo-Montepinos-Arroyo Culebro ^ Distrito Valdepelayo - Montepinos - Arroyo Culebro ^ Leganés ^ Zona sur, Madrid ^^^^^104.000
1690146^ 150 m² construidos, 108 m² útiles ^ 4 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación norte, este, oeste ^ Certificación energética: no indicado ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Federica Montseny, 2^ Barrio Valdepelayo-Montepinos-Arroyo Culebro ^ Distrito Valdepelayo - Montepinos - Arroyo Culebro ^ Leganés ^ Zona sur, Madrid ^^^^^282.900
1692561^ 70 m² construidos, 65 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^Calle Panadés, 16^ Barrio Zarzaquemada ^ Distrito Zarzaquemada ^ Leganés ^ Zona sur, Madrid ^^^^^114.900
1720576^ 72 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Mayorazgo, 18^ Barrio Zarzaquemada ^ Distrito Zarzaquemada ^ Leganés ^ Zona sur, Madrid ^^^^^176.836
1754741^ 132 m² construidos, 90 m² útiles ^ 2 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Nuestra Señora Paz, 16^ Barrio La Fortuna ^ Distrito La Fortuna ^ Leganés ^ Zona sur, Madrid ^^^^^197.782
1755602^ 55 m² construidos, 45 m² útiles ^ 1 habitación ^ 1 baño ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Cáceres, 10^ Barrio Las Dehesillas-Vereda de los Estudiantes ^ Distrito Las Dehesillas - Vereda de los Estudiantes ^ Leganés ^ Zona sur, Madrid ^^^^^195.857
1786183^ 120 m² construidos, 96 m² útiles ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, este ^ Certificación energética: no indicado ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Carmen Martin Gaite, 40^ Urb. si ^ Barrio Leganés norte ^ Distrito Leganés norte ^ Leganés ^ Zona sur, Madrid ^^^^174.900
