,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39691875, 100 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación norte , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,, Entreplanta exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,, los pinos, Barrio Valdepelayo-Montepinos-Arroyo Culebro , Distrito Valdepelayo - Montepinos - Arroyo Culebro , Leganés ," Zona sur, Madrid ",,,,,250.000
39691340, 120 m² construidos , 3 habitaciones , 3 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Orientación norte , Certificación energética: en trámite ,,,,,,,,, Planta 1ª exterior , Sin ascensor ,,,,,,,, Bilbao, Barrio Las Dehesillas-Vereda de los Estudiantes , Distrito Las Dehesillas - Vereda de los Estudiantes , Leganés ," Zona sur, Madrid ",,,,,219.000
39676371, 130 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Trastero ," Orientación sur, este ", Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida , Vivienda apta para su uso por personas con movilidad reducida ,,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado , Jardín ,,,, Alemania, Barrio El Carrascal , Distrito El Carrascal , Leganés ," Zona sur, Madrid ",,,,,239.000
39679943, 81 m² construidos , 2 habitaciones , 1 baño , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación oeste , Construido en 2012 , Certificación energética: en trámite ,,,,,,, Planta 3ª exterior , Con ascensor ,,, Aire acondicionado , Jardín ,,,, Vicente Ferrer, Barrio Poza del Agua , Distrito San Nicasio - Campo de Tiro - Solagua , Leganés ," Zona sur, Madrid ",,,,,179.900
39694681," 70 m² construidos, 67 m² útiles ", 3 habitaciones , 1 baño , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 2ª exterior , Sin ascensor ,,,,,,,,, Barrio Batallas , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,,120.000
39670521," 104 m² construidos, 92 m² útiles ", 3 habitaciones , 2 baños , Terraza , Construido en 1982 , Certificación energética: no indicado ,,,,,,,,,,, exterior , Con ascensor ,,,,,,,,, Barrio El Carrascal , Distrito El Carrascal , Leganés ," Zona sur, Madrid ",,,,,230.000
39679379, 60 m² construidos , 2 habitaciones , 1 baño , Terraza , Segunda mano/para reformar , Certificación energética: en trámite ,,,,,,,,,,, Planta 1ª interior , Con ascensor ,,,,,,,, SAN ALFONSO, Barrio La Fortuna , Distrito La Fortuna , Leganés ," Zona sur, Madrid ",,,,,69.900
39674588, 90 m² construidos , 2 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Barrio Casco Antiguo , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,,215.000
39685363, 66 m² construidos , 3 habitaciones , 1 baño , Terraza , Balcón , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,,, Barrio Descubridores-Escritores , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,,89.900
39671299," 86 m² construidos, 67 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,,,,,,,, Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,143.000
39657284, 115 m² construidos , 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,,, Barrio El Carrascal , Distrito El Carrascal , Leganés ," Zona sur, Madrid ",,,,,288.900
39668096, 98 m² construidos , 3 habitaciones , 2 baños , Terraza , Balcón , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética:  (IPE no indicado) ,,,,,,, Planta 3ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,,"Calle del Alcalde Pedro González González, 15", Barrio Valdepelayo-Montepinos-Arroyo Culebro , Distrito Valdepelayo - Montepinos - Arroyo Culebro , Leganés ," Zona sur, Madrid ",,,,,305.000
39679872, 77 m² construidos , 2 habitaciones , 2 baños , Segunda mano/buen estado , Armarios empotrados , Orientación sur , Construido en 1975 , Certificación energética: en trámite ,,,,,,,,, Planta 8ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,156.000
39653120, 85 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/para reformar , Orientación este , Certificación energética:  (IPE no indicado) ,,,,,,,,,, Planta 4ª exterior , Con ascensor ,,,,,,,,Urb. Junto Plaza Mayos, Urb. Junto Plaza Mayos , Barrio Vírgenes , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,127.000
39667100, 115 m² construidos , 4 habitaciones , 2 baños , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,,,, Planta 8ª exterior , Con ascensor ,,,,,,,,, Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,239.500
39666854, 110 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 5ª exterior , Con ascensor ,,,,,,,,, Barrio Leganés norte , Distrito Leganés norte , Leganés ," Zona sur, Madrid ",,,,,249.000
39657199, 110 m² construidos , 4 habitaciones , 2 baños , Terraza , Plaza de garaje por 10.000 eur adicionales , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,, Aire acondicionado ,,,,,, Barrio La Fortuna , Distrito La Fortuna , Leganés ," Zona sur, Madrid ",,,,,248.000
39658689, 65 m² construidos , 2 habitaciones , 1 baño , Segunda mano/buen estado , Construido en 1966 , Certificación energética: en trámite ,,,,,,,,,,, Planta 4ª exterior , Con ascensor ,,,,,,,,Calle de batalla de brunete, Barrio Batallas , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,,110.000
39667183, 60 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,,, Bajo exterior , Con ascensor ,,,,,,,,, Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,135.000
39658608, 70 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 6ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,169.900
39666560, 68 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,,, Barrio Santos , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,,89.000
39667237, 70 m² construidos , 2 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Sin ascensor ,,,,,,,,, Barrio Casco Antiguo , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,,134.900
39653432," 70 m² construidos, 65 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Orientación sur , Construido en 1974 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida , Vivienda apta para su uso por personas con movilidad reducida ,,,,,, Planta 2ª exterior , Con ascensor ,,, Jardín ,,,,, la rioja, Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,129.900
39663215," 76 m² construidos, 60 m² útiles ", 3 habitaciones , 1 baño , Terraza , Plaza de garaje por 6.000 eur adicionales , Segunda mano/buen estado ," Orientación sur, este ", Construido en 1973 , Certificación energética: en trámite ,,,,,,,, Planta 2ª exterior , Sin ascensor ,,,,,,,,, Barrio Santos , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,,113.630
39653840, 75 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Orientación sur , Construido en 1973 , Certificación energética: no indicado ,,,,,,,,, Planta 2ª exterior , Sin ascensor ,,, Aire acondicionado ,,,,,"Calle Mayorazgo, 30", Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,135.000
36571856, 84 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética:  (IPE no indicado) ,,,,,,,,,,,, , Sin ascensor ,,,,,,,,Calle de la alcarria, Barrio Zarzaquemada , Distrito Zarzaquemada , Leganés ," Zona sur, Madrid ",,,,,92.965
35844481," 180 m² construidos, 168 m² útiles ", 5 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero ," Orientación norte, sur ", Certificación energética: en trámite ,,,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,"Plaza Salvador, 5", Barrio Casco Antiguo , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,,320.000
38062965," 70 m² construidos, 68 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Construido en 1975 , Certificación energética: no indicado ,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,,, Barrio Santos , Distrito Centro , Leganés ," Zona sur, Madrid ",,,,,95.000
