,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39684112, 99 m² construidos , 2 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto:  (IPE no indicado) ,,,,,,,,, Bajo exterior , Con ascensor ,,, Piscina , Jardín ,,,,Paseo Estación esq Calle Magallanes s/n, Distrito Universidad , Getafe ," Zona sur, Madrid ",,,,,,259.900
39687865, 179 m² construidos , 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación sur , Certificación energética: en trámite ,,,,,,, Planta 6ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito El Bercial , Getafe ," Zona sur, Madrid ",,,,,,329.990
39675312," 107 m² construidos, 100 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Construido en 1972 , Certificación energética: en trámite ,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,, Núñez de Balboa s/n, Distrito Getafe Centro , Getafe ," Zona sur, Madrid ",,,,,,155.000
39690509," 74 m² construidos, 70 m² útiles ", 3 habitaciones , 2 baños , Segunda mano/buen estado , Armarios empotrados , Orientación este , Construido en 1997 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,,,, Entreplanta exterior , Con ascensor ,,,,,,,," San Isidro, 6", Urb. Centro , Distrito San Isidro , Getafe ," Zona sur, Madrid ",,,,,165.000
38597163," 64 m² construidos, 60 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/para reformar , Construido en 1968 , Certificación energética: no indicado ,,,,,,,,,,, Planta 4ª , Sin ascensor ,,,,,,,,"Calle nardo, 3", Distrito Universidad , Getafe ," Zona sur, Madrid ",,,,,,80.000
39690892," 70 m² construidos, 65 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Orientación sur , Certificación energética: no indicado ,,,,,,,,,, Planta 2ª exterior , Sin ascensor ,,, Aire acondicionado ,,,,,"Avenida de los Ángeles, 31", Distrito Juan de la Cierva , Getafe ," Zona sur, Madrid ",,,,,,97.000
39674656," 65 m² construidos, 60 m² útiles ", 2 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Construido en 1970 , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Sin ascensor ,,, Aire acondicionado ,,,,, DOCTOR BARRAQUER s/n, Distrito Universidad , Getafe ," Zona sur, Madrid ",,,,,,110.000
39682625, 146 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Armarios empotrados , Trastero , Construido en 1991 , Certificación energética del edificio terminado: en trámite ,,,,,,,,, , Con ascensor ,,,,,,,,Calle de la magdalena, Distrito Getafe Centro , Getafe ," Zona sur, Madrid ",,,,,,300.000
39673780," 100 m² construidos, 85 m² útiles ", 2 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 1ª exterior , Sin ascensor ,,,,,,,,, Distrito Getafe Centro , Getafe ," Zona sur, Madrid ",,,,,,156.000
39663472," 62 m² construidos, 53 m² útiles ", 1 habitación , 1 baño , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero ," Orientación sur, este ", Construido en 2010 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,, Planta 3ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,, MAGALLANES, Distrito Universidad , Getafe ," Zona sur, Madrid ",,,,,,188.000
39677505, 103 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Construido en 2013 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,, Planta 2ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,,"Calle de Enrique Lister, 1", Distrito Buenavista , Getafe ," Zona sur, Madrid ",,,,,,240.000
39676555," 114 m² construidos, 95 m² útiles ", 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación norte , Construido en 2016 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,,Calle de Carabanchel, Urb. EL CIELO DE GETAFE , Distrito Getafe Centro , Getafe ," Zona sur, Madrid ",,,,,355.600
39676428," 114 m² construidos, 95 m² útiles ", 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero ," Orientación norte, este ", Construido en 2016 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,, Planta 2ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,,Calle de Carabanchel, Urb. EL CIELO DE GETAFE , Distrito Getafe Centro , Getafe ," Zona sur, Madrid ",,,,,365.000
39674263," 63 m² construidos, 51 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Construido en 1968 , Certificación energética: en trámite ,,,,,,,,,,, Planta 1ª exterior , Sin ascensor ,,,,,,,,Calle Gladiolo, Distrito Universidad , Getafe ," Zona sur, Madrid ",,,,,,120.000
39672671," 62 m² construidos, 50 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Construido en 1970 , Certificación energética: en trámite ,,,,,,,,,,, Planta 2ª exterior , Con ascensor ,,,,,,,,Avenida de España, Distrito Juan de la Cierva , Getafe ," Zona sur, Madrid ",,,,,,127.200
39672658," 67 m² construidos, 64 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/para reformar , Construido en 1971 , Certificación energética: en trámite ,,,,,,,,,, Planta 2ª exterior , Sin ascensor ,,,,,,,, Tarragona, Distrito Juan de la Cierva , Getafe ," Zona sur, Madrid ",,,,,,94.000
39678330," 92 m² construidos, 79 m² útiles ", 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación norte , Construido en 2012 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,, Planta 2ª exterior , Con ascensor ,,, Jardín ,,,,," ALBANEGA, 2", Distrito Los Molinos , Getafe ," Zona sur, Madrid ",,,,,,245.355
39673246," 68 m² construidos, 55 m² útiles ", 2 habitaciones , 1 baño , Segunda mano/para reformar , Certificación energética:  (296 kWh/m² año) ,,,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,,Avenida de los ángeles, Distrito Juan de la Cierva , Getafe ," Zona sur, Madrid ",,,,,,141.700
39618945," 68 m² construidos, 62 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Orientación sur , Certificación energética: en trámite ,,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,,,,,,, Galicia, Distrito Juan de la Cierva , Getafe ," Zona sur, Madrid ",,,,,,98.500
39667809," 102 m² construidos, 87 m² útiles ", 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Armarios empotrados , Trastero , Orientación oeste , Certificación energética:  (IPE no indicado) ,,,,,,,,, exterior , Con ascensor ,,,,,,,,Calle concha espina, Distrito Getafe norte , Getafe ," Zona sur, Madrid ",,,,,,215.000
39675847," 75 m² construidos, 70 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Orientación sur , Construido en 1970 , Certificación energética:  (IPE no indicado) ,,,,,,,,, Planta 4ª exterior , Con ascensor ,,,,,,,,, Distrito Universidad , Getafe ," Zona sur, Madrid ",,,,,,190.000
