^att_main_0^att_main_1^att_main_2^att_main_3^att_main_4^att_main_5^att_main_6^att_main_7^att_main_8^att_main_9^att_main_10^att_main_11^att_main_12^att_main_13^att_main_14^att_main_15^att_build_0^att_build_1^att_build_2^att_build_3^att_equipment_0^att_equipment_1^att_equipment_2^att_equipment_3^att_equipment_4^att_location_0^att_location_1^att_location_2^att_location_3^att_location_4^att_location_5^att_location_6^att_location_7^att_location_8^price
1612342^ 70 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 3ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^Calle Vegas, 5^ Barrio Zona Renfe ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^210.000
1617255^ 70 m² construidos, 56 m² útiles ^ 2 habitaciones ^ 1 baño ^ Segunda mano/para reformar ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^^^^^^Calle Luna, 11^ Barrio Parque Mayor ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^510.950
1649326^ 92 m² construidos, 77 m² útiles ^ Sin habitación ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación norte ^ Certificación energética:  (551 kWh/m² año) ^^^^^^^ Bajo interior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Avenida M-40, 11^ Barrio Campodón - Ventorro del Cano ^ Distrito Campodón - Ventorro del Cano ^ Alcorcón ^ Zona sur, Madrid ^^^^^229.000
1662795^ 90 m² construidos, 70 m² útiles ^ 2 habitaciones ^ 2 baños ^ Balcón ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, este ^ Certificación energética: no indicado ^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^^^^Calle Lirios, 9^ Barrio Valderas - Los Castillos ^ Distrito Valderas - Los Castillos ^ Alcorcón ^ Zona sur, Madrid ^^^^^163.000
1749121^ 191 m² construidos ^ 4 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Certificación energética: no indicado ^^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^^^^^^^^^^143.000
1779125^ 71 m² construidos, 62 m² útiles ^ 1 habitación ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Retamas, 9^ Barrio Prado de Santo Domingo ^ Distrito Prado de Santo Domingo ^ Alcorcón ^ Zona sur, Madrid ^^^^^157.000
1798959^ 85 m² construidos, 65 m² útiles ^ 2 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación este ^ Certificación energética: no indicado ^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Fuente Cisneros, 19^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^^309.000
1806094^ 103 m² construidos, 87 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Gabriela Mistral, 3^ Urb. La Rotonda ^ Barrio Prado de Santo Domingo ^ Distrito Prado de Santo Domingo ^ Alcorcón ^ Zona sur, Madrid ^^^^77.500
1807727^ 120 m² construidos, 107 m² útiles ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, este ^ Certificación energética: no indicado ^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Helsinki, 4^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^^330.000
1831388^ 75 m² construidos, 65 m² útiles ^ 2 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle Guipúzcoa, 2^ Barrio Casco Antiguo ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^185.000
1889927^ 120 m² construidos ^ Sin habitación ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Avenida M-40, 23^ Barrio Campodón - Ventorro del Cano ^ Distrito Campodón - Ventorro del Cano ^ Alcorcón ^ Zona sur, Madrid ^^^^^214.000
