,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39665879, 130 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,,, Distrito Universidad - Hospital , Fuenlabrada ," Zona sur, Madrid ",,,,,,269.000
39668101, 123 m² construidos , 4 habitaciones , 3 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Construido en 1995 , Certificación energética: no indicado ,,,,,,,,, Planta 6ª exterior , Con ascensor ,,,,,,,,, Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,,172.000
39128664," 81 m² construidos, 76 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética: no indicado ,,,,,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,Calle Santoña, Distrito La Serna , Fuenlabrada ," Zona sur, Madrid ",,,,,,131.000
39665734, 70 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,,,,,,,, Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,114.900
39673593," 100 m² construidos, 85 m² útiles ", 3 habitaciones , 2 baños , Segunda mano/buen estado , Armarios empotrados , Trastero , Construido en 1999 , Certificación energética: en trámite ,,,,,,,,, Planta 8ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Loranca , Fuenlabrada ," Zona sur, Madrid ",,,,,,167.000
39667346," 80 m² construidos, 72 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/para reformar , Armarios empotrados , Trastero , Construido en 1977 , Certificación energética: en trámite ,,,,,,,, Planta 4ª exterior , Sin ascensor ,,,,,,,,, Distrito La Serna , Fuenlabrada ," Zona sur, Madrid ",,,,,,86.000
39674292," 130 m² construidos, 98 m² útiles ", 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero ," Orientación sur, este ", Construido en 2002 , Certificación energética: en trámite ,,,,,,, Planta 3ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,215.000
39583419, 80 m² construidos , 2 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,, Aire acondicionado ,,,,,, Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,,112.000
39662833," 76 m² construidos, 71 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados ," Orientación norte, oeste ", Construido en 1972 , Certificación energética: en trámite ,,,,,,,, Planta 1ª exterior , Sin ascensor ,,,,,,,,, Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,98.630
30903205," 70 m² construidos, 65 m² útiles ", 1 habitación , 1 baño , Certificación energética:  (IPE no indicado) ,,,,,,,,,,,,, , Sin ascensor ,,,,,,,,"Calle de castillejos, 4", Distrito Centro , Fuenlabrada ," Zona sur, Madrid ",,,,,,69.000
33131668, 72 m² construidos , 3 habitaciones , 1 baño , Certificación energética:  (IPE no indicado) ,,,,,,,,,,,,, Planta 4ª , Sin ascensor ,,,,,,,,Calle islas británicas, Urb. 22777-0001 , Distrito Fuenlabrada II - El Molino , Fuenlabrada ," Zona sur, Madrid ",,,,,145.200
39154476, 82 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Construido en 1983 , Certificación energética: en trámite ,,,,,,,,,, Planta 2ª , Con ascensor ,,,,,,,,"Paseo higueral, 2", Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,,134.000
38645853," 115 m² construidos, 95 m² útiles ", 3 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Orientación sur , Construido en 2000 , Certificación energética: no indicado ,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,Calle de Santa Ana, Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,,190.000
39668187," 87 m² construidos, 85 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Orientación sur , Certificación energética:  (IPE no indicado) ,,,,,,,,,, Planta 6ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Fuenlabrada II - El Molino , Fuenlabrada ," Zona sur, Madrid ",,,,,,125.000
39668103, 95 m² construidos , 3 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Trastero , Construido en 1995 , Certificación energética: no indicado ,,,,,,,, Planta 5ª exterior , Con ascensor ,,,,,,,,, Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,,166.000
39520305, 85 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Orientación sur , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,,,,, Planta 2ª exterior , Con ascensor ,,,,,,,,Calle Luxemburgo, Distrito Fuenlabrada II - El Molino , Fuenlabrada ," Zona sur, Madrid ",,,,,,120.000
38703409," 86 m² construidos, 74 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Orientación norte , Construido en 1980 , Certificación energética: en trámite ,,,,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,,, Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,,145.000
