,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39129082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
30500572," 76 m² construidos, 64 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Fuenlabrada II - El Molino , Fuenlabrada ," Zona sur, Madrid ",,,,,,137.500
39648438," 150 m² construidos, 90 m² útiles ", 4 habitaciones , 2 baños , Terraza , Balcón , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación este , Construido en 1998 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,, Planta 4ª exterior , Con ascensor ,,, Piscina , Jardín ,,,, Urbanizacion Parque Miraflores, Distrito Loranca , Fuenlabrada ," Zona sur, Madrid ",,,,,,156.000
39659078," 81 m² construidos, 76 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados ," Orientación sur, oeste ", Construido en 1979 , Certificación energética: en trámite ,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito El Arroyo - La Fuente , Fuenlabrada ," Zona sur, Madrid ",,,,,,121.000
39044232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39647120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39653778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38770353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39654960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39385588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39458134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39563841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39648403, 70 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,,,,,,,, Distrito La Serna , Fuenlabrada ," Zona sur, Madrid ",,,,,,88.000
38922912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38887657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39113650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38426215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39590261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39638632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39471360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39197053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
37781010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39580824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39526517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39470842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39589222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39564653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39585189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39086895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
38836935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39585262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39471889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
37807316," 134 m² construidos, 115 m² útiles ", 4 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación este , Construido en 1997 , Certificación energética: en trámite ,,,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado , Jardín ,,,,, Distrito Loranca , Fuenlabrada ," Zona sur, Madrid ",,,,,,186.000
26839658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39634285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
35150811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39107131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
