,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39718146, 110 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados ," Orientación sur, oeste ", Certificación energética:  (IPE no indicado) ,,,,,,,,, Planta 2ª exterior , Con ascensor ,,,,,,,, Urano, Barrio Valderas - Los Castillos , Distrito Valderas - Los Castillos , Alcorcón ," Zona sur, Madrid ",,,,,185.000
39717331, 65 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,,, Planta 2ª exterior , Sin ascensor ,,,,,,,,, Barrio Zona Renfe , Distrito Centro , Alcorcón ," Zona sur, Madrid ",,,,,124.500
39693882," 152 m² construidos, 140 m² útiles ", 4 habitaciones , 2 baños , Terraza , Segunda mano/para reformar , Orientación oeste , Construido en 1972 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,,,, Planta 8ª exterior , Con ascensor ,,,,,,,,Avenida Derechos Humanos, Barrio Parque Lisboa - La Paz , Distrito Parque Lisboa - La Paz , Alcorcón ," Zona sur, Madrid ",,,,,300.000
39700099," 122 m² construidos, 110 m² útiles ", 3 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados ," Orientación norte, este ", Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,,,, Planta 4ª exterior , Con ascensor ,,,,,,,,, Barrio Casco Antiguo , Distrito Centro , Alcorcón ," Zona sur, Madrid ",,,,,185.000
39692344," 124 m² construidos, 80 m² útiles ", 3 habitaciones , 2 baños , Balcón , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero ," Orientación norte, este ", Construido en 2002 , Certificación energética: no indicado , Acceso adaptado a personas con movilidad reducida ,,,,, Planta 3ª exterior , Con ascensor ,,, Piscina , Jardín ,,,,Avenida de Atenas, Urb. Privada y vigilada , Barrio Parque oeste - Fuente Cisneros , Distrito Parque oeste - Fuente Cisneros , Alcorcón ," Zona sur, Madrid ",,,,290.000
39210277, 150 m² construidos , 3 habitaciones , 3 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,,"Paseo CASTILLA, 3", Barrio Zona Renfe , Distrito Centro , Alcorcón ," Zona sur, Madrid ",,,,,215.000
39284755, 100 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado ," Orientación norte, este ", Certificación energética: en trámite ,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,,Calle Cisneros, Barrio Casco Antiguo , Distrito Centro , Alcorcón ," Zona sur, Madrid ",,,,,120.000
39721571, 180 m² construidos , 4 habitaciones , 4 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: no indicado ,,,,,,,,, Planta 1ª interior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,,"Calle Copenhague, 8", Barrio Parque oeste - Fuente Cisneros , Distrito Parque oeste - Fuente Cisneros , Alcorcón ," Zona sur, Madrid ",,,,,340.000
39725614, 115 m² construidos , 3 habitaciones , 2 baños , Terraza , Balcón , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero ," Orientación este, oeste ", Certificación energética: en trámite ,,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,, Las Retamas, Urb. Urbanización , Barrio Prado de Santo Domingo , Distrito Prado de Santo Domingo , Alcorcón ," Zona sur, Madrid ",,,,260.000
39699621," 109 m² construidos, 87 m² útiles ", 4 habitaciones , 2 baños , Terraza , Segunda mano/para reformar , Orientación este , Construido en 1973 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,, Porto Cristo, Barrio Parque Lisboa - La Paz , Distrito Parque Lisboa - La Paz , Alcorcón ," Zona sur, Madrid ",,,,,190.000
39710125, 115 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado , Piscina ,,,,"Avenida las Retamas, 45", Barrio Prado de Santo Domingo , Distrito Prado de Santo Domingo , Alcorcón ," Zona sur, Madrid ",,,,,260.000
39682968," 70 m² construidos, 60 m² útiles ", 1 habitación , 1 baño , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: no indicado ,,,,,,,, Bajo exterior , Con ascensor ,,, Aire acondicionado , Jardín ,,,,"Calle Pedrezuela, 1", Barrio Campodón - Ventorro del Cano , Distrito Campodón - Ventorro del Cano , Alcorcón ," Zona sur, Madrid ",,,,,140.000
39687117," 100 m² construidos, 90 m² útiles ", 3 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: no indicado ,,,,,,,,,, Planta 9ª exterior , Con ascensor ,,, Jardín ,,,,,"Calle de los Cantos, 3", Barrio Parque Mayor , Distrito Centro , Alcorcón ," Zona sur, Madrid ",,,,,171.000
39712294," 70 m² construidos, 65 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,,,,,,, Carballino, Barrio Valderas - Los Castillos , Distrito Valderas - Los Castillos , Alcorcón ," Zona sur, Madrid ",,,,,90.000
39690254," 69 m² construidos, 64 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,, Aire acondicionado ,,,,,"Calle Vizcaya, 6", Barrio Casco Antiguo , Distrito Centro , Alcorcón ," Zona sur, Madrid ",,,,,149.000
39678302," 70 m² construidos, 64 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética:  (IPE no indicado) ,,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,, Aire acondicionado ,,,,,"Calle Vizcaya, 12", Barrio Casco Antiguo , Distrito Centro , Alcorcón ," Zona sur, Madrid ",,,,,139.000
39077064, 90 m² construidos , 3 habitaciones , 2 baños , Terraza , Segunda mano/para reformar , Certificación energética: en trámite ,,,,,,,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,," MAYOR, 48", Barrio Casco Antiguo , Distrito Centro , Alcorcón ," Zona sur, Madrid ",,,,,189.000
39738801, 90 m² construidos , 3 habitaciones , 1 baño , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,, Planta 7ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,"Calle Sapporo, 15", Barrio Parque Ondarreta - Urtinsa , Distrito Parque Ondarreta - Urtinsa , Alcorcón ," Zona sur, Madrid ",,,,,199.000
39740997, 75 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: no indicado ,,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,,"Calle Celanova, 7", Barrio Valderas - Los Castillos , Distrito Valderas - Los Castillos , Alcorcón ," Zona sur, Madrid ",,,,,86.000
