^att_main_0^att_main_1^att_main_2^att_main_3^att_main_4^att_main_5^att_main_6^att_main_7^att_main_8^att_main_9^att_main_10^att_main_11^att_main_12^att_main_13^att_main_14^att_main_15^att_build_0^att_build_1^att_build_2^att_build_3^att_equipment_0^att_equipment_1^att_equipment_2^att_equipment_3^att_equipment_4^att_location_0^att_location_1^att_location_2^att_location_3^att_location_4^att_location_5^att_location_6^att_location_7^att_location_8^price
1911796^ 115 m² construidos, 90 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte ^ Certificación energética: no indicado ^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Azorín, 8^ Distrito El Soto - Coveta ^ Móstoles ^ Zona sur, Madrid ^^^^^^180000
2030707^ 110 m² construidos, 97 m² útiles ^ 3 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Rio Sella, 2^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^200000
2048926^ 120 m² construidos, 95 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Piscina ^^^^^Calle Nicaragua, 8^ Urb. Las Cumbres ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^285480
2050035^ 140 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Avenida Rosales, 125^ Urb. Parque coimbra v2 ^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^240000
25382233^ 240 m² construidos, 220 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur, oeste ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle de Juan de Juanes, 3^ Urb. Estoril II ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^260000
26358912^ 240 m² construidos, 220 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, oeste ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Juan de Juanes^ Urb. PARQUE ESTORIL 2 ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^265000
26822813^ 108 m² construidos, 92 m² útiles ^ 3 habitaciones ^ 3 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^ Planta 9ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Nicaragua, 12^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^340000
27148553^ 87 m² construidos, 84 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Calle Buenos Aires, 3^ Urb. buenos aires ^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^126000
28039517^ 92 m² construidos, 85 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Chile, 2^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^196500
28219048^ 150 m² construidos, 130 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte ^ Certificación energética: no indicado ^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Calle del Pintor Ribera, 6^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^197000
