^att_main_0^att_main_1^att_main_2^att_main_3^att_main_4^att_main_5^att_main_6^att_main_7^att_main_8^att_main_9^att_main_10^att_main_11^att_main_12^att_main_13^att_main_14^att_main_15^att_build_0^att_build_1^att_build_2^att_build_3^att_equipment_0^att_equipment_1^att_equipment_2^att_equipment_3^att_equipment_4^att_location_0^att_location_1^att_location_2^att_location_3^att_location_4^att_location_5^att_location_6^att_location_7^att_location_8^price
37622234^ 79 m² construidos ^ 3 habitaciones ^ 1 baño ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (223,5 kWh/m² año) ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Calle Desarrollo^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^139000
37679346^ 110 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Avenida Olímpica, 4^ Distrito El Soto - Coveta ^ Móstoles ^ Zona sur, Madrid ^^^^^^150000
37709020^ 80 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^119000
37729467^ 65 m² construidos ^ 2 habitaciones ^ 1 baño ^ Segunda mano/para reformar ^ Construido en 1977 ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 3ª exterior ^ Sin ascensor ^^^^^^^^ GUADALAJARA^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^78900
37729757^ 65 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/para reformar ^ Construido en 1968 ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^^^^^^Avenida de la Constitucion^ Urb. Centro ^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^92500
37736831^ 160 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética:  (IPE no indicado) ^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Piscina ^^^^^Calle Fernando Roncero^ Urb. si ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^490500
37761103^ 95 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/para reformar ^ Certificación energética: no indicado ^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Pintor Murillo, 18^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^149000
37789975^ 116 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, este ^ Certificación energética:  (IPE no indicado) ^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^165900
37842119^ 120 m² construidos, 115 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/para reformar ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle de los Hermanos Pinzón, 24^ Urb. Villafontana Ii ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^170000
37882316^ 120 m² construidos, 112 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 8ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Calle de Simón Hernández, 68^ Urb. Villafontana ^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^190000
37889737^ 121 m² construidos ^ 4 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: en trámite ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Sitio de Zaragoza^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^169900
37898556^ 94 m² construidos, 90 m² útiles ^ 3 habitaciones ^ 1 baño ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 10ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^171000
37912068^ 85 m² construidos ^ 3 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación este ^ Construido en 1991 ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^ Planta 1ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^Calle de Toledo^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^142000
37912184^ 110 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Construido en 2002 ^ Certificación energética: en trámite ^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Avenida alcalde de mostoles^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^199900
37918115^ 140 m² construidos, 100 m² útiles ^ 3 habitaciones ^ 3 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^ Planta 9ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Plaza de nicaragua, 11^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^275000
37945817^ 95 m² construidos, 87 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética: no indicado ^^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Miguel Ángel, 9^ Urb. IVIASA ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^170000
37957352^ 120 m² construidos, 118 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle del Tamarindo, 4^ Urb. Parque Coimbra ^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^198000
37967474^ 105 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Construido en 1980 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Urb. SI^ Urb. SI ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^166000
37980681^ 95 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 1980 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^155500
37993811^ 152 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur, este ^ Construido en 1976 ^ Certificación energética: en trámite ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Pintor Velazquez^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^216000
37995369^ 65 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/para reformar ^ Construido en 1978 ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^110000
38021817^ 82 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur ^ Construido en 1973 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Calle Badajoz^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^65000
38040969^ 110 m² construidos ^ 4 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^^^^Paseo de Goya, 5^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^195000
38044198^ 121 m² construidos, 89 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^274500
38050717^ 120 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Orientación norte, oeste ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^^^^^^Calle de Burdeos, 2^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^229000
38056321^ 124 m² construidos, 105 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle del Camino de Leganés, 26^ Urb. Villafonatana ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^185000
38056379^ 150 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 3ª interior ^ Con ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^189900
38097475^ 80 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Orientación este ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^139000
38105859^ 90 m² construidos, 85 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Sevilla^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^130000
38107512^ 96 m² construidos ^ 3 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Camino de humanes^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^159000
38118071^ 96 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/para reformar ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Calle Tokio^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^122000
38127624^ 124 m² construidos, 94 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 1975 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Urb. Villafontana^ Urb. Villafontana ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^189000
38132070^ 76 m² construidos, 70 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Orientación este ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Parque Vosa, 25^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^160000
38145405^ 120 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/para reformar ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^^^^^^Urb. VILLAFONTANA II^ Urb. VILLAFONTANA II ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^155000
38147958^ 85 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Certificación energética: en trámite ^^^^^^^^^^^^ Planta 6ª ^ Con ascensor ^^^ Piscina ^^^^^Calle versalles^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^129000
38149034^ 111 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^^^^ Planta 5ª ^ Con ascensor ^^^ Piscina ^^^^^Calle de sirio^ Urb. Piso en C/ De Sirio ^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^215000
38163032^ 130 m² construidos, 115 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje por 9.000 eur adicionales ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación oeste ^ Certificación energética: en trámite ^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^^^^^^Avenida de los Rosales^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^199000
38163367^ 109 m² construidos, 85 m² útiles ^ 6 habitaciones ^ 2 baños ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^^^ Planta 1ª ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Calle versalles^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^139057
38164828^ 105 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/para reformar ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Urb. VILLAFONTANA II^ Urb. VILLAFONTANA II ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^140000
38168227^ 125 m² construidos, 94 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Construido en 1977 ^ Certificación energética: en trámite ^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Avenida de la Onu^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^166000
38221936^ 95 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^184900
38223817^ 66 m² construidos ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación norte ^ Construido en 1992 ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Nardos, 14^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^147000
38245774^ 85 m² construidos, 80 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Avenida del dos de Mayo^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^145000
38246855^ 118 m² construidos, 105 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Trastero ^ Construido en 1982 ^ Certificación energética:  (IPE no indicado) ^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle del tamarindo, 32^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^198670
38250384^ 165 m² construidos ^ 1 habitación ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte, este ^ Construido en 1974 ^ Certificación energética: en trámite ^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Piscina ^^^^^Calle NIZA^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^157200
38256493^ 110 m² construidos, 91 m² útiles ^ 4 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^^^^^^Calle de ricardo de la vega^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^161000
38264765^ 90 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Burgos, 2^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^130000
38267196^ 70 m² construidos ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Parque Vosa^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^99000
38267470^ 90 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 1977 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Pintor Murillo^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^149000
38267975^ 140 m² construidos, 139 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte ^ Construido en 1990 ^ Certificación energética: en trámite ^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^209000
38268859^ 132 m² construidos, 120 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, este ^ Certificación energética: en trámite ^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Avenida Los Rosales^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^179900
38277430^ 168 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética:  (124 kWh/m² año) ^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^^^^^^Urb. PAU 4^ Urb. PAU 4 ^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^275000
38282939^ 119 m² construidos, 106 m² útiles ^ 4 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^198670
38283832^ 72 m² construidos, 65 m² útiles ^ 2 habitaciones ^ 1 baño ^ Segunda mano/para reformar ^ Orientación norte, sur ^ Construido en 1973 ^ Certificación energética: en trámite ^^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^^^^^^ Calle Barcelona^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^99000
38308640^ 90 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Urb. PAU 4^ Urb. PAU 4 ^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^192000
38313724^ 113 m² construidos, 85 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 2004 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^280000
38320257^ 89 m² construidos, 65 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Construido en 1972 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^144000
38321955^ 80 m² construidos, 70 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^87500
38322962^ 80 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Trastero ^ Orientación sur ^ Construido en 1972 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Avenida 2 DE MAYO^ Urb. SI ^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^145000
38332725^ 98 m² construidos, 76 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^155000
38337852^ 104 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética:  (IPE no indicado) ^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida de los Abogados de Atocha s/n^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^216000
38338325^ 109 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética:  (IPE no indicado) ^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida de los Abogados de Atocha s/n^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^256000
38347595^ 113 m² construidos, 90 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Orientación norte, oeste ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Piscina ^^^^^Calle de burdeos^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^229000
38360078^ 85 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^ Parque Zarauz^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^148000
38365004^ 120 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle de Sirio, 34^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^242000
38365081^ 125 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle Salcillo, 13^ Urb. Parque Estoril II ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^215000
38380076^ 102 m² construidos, 97 m² útiles ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación este ^ Certificación energética:  (IPE no indicado) ^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle del Eucalipto, 4^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^190000
38380121^ 80 m² construidos, 67 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Construido en 1967 ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^134900
38386441^ 70 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Construido en 1978 ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 5ª ^ Con ascensor ^^^^^^^^Calle desarrollo^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^125900
38389217^ 220 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje por 8.000 eur adicionales ^ Segunda mano/para reformar ^ Armarios empotrados ^ Orientación norte, oeste ^ Construido en 1977 ^ Certificación energética: en trámite ^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle estoril^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^235000
38401661^ 89 m² construidos ^ 2 habitaciones ^ 2 baños ^ Certificación energética de proyecto:  (IPE no indicado) ^^^^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Piscina ^^^^^Calle Río Duero, 17^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^143700
