"";"URL";"Info";"Direccion";"Precio";"Superficie";"Habitaciones";"Planta";"Longitud";"Latitud"
"1";"https://www.idealista.com/inmueble/1802440/";" ""Muy Bien comunicado cerca autopista, totalmente reformado, puertas interiores haya, puerta entrada blindada, antipalanca, aluminio exterior blanco con cristales crimalit, baño con hidromasaje y techo de aluminio de espejo, techos pasillos madera haya. Entrega inmediata distribución: terraza descubierta de 5 m2 4 vecinos en el edificio la casa dispone de: portero automático."" ";"Piso en venta en calle Xúquer, 6, Xúquer, Terrassa";"126000";"90";"3";"1ª";"2.0340921";"41.5555725"
"2";"https://www.idealista.com/inmueble/1971779/";" ""Piso muy luminoso de 82m² con salón-comedor, cocina equipada, 3 habitaciones (2 dobles), baño completo, lavadero y balcón. Parquet, calefacción de gas natural, aire acondicionado, aluminio, carpintería interior de haya. Piso céntrico a 5 minutos de la estación y de la playa, al lado de la rambla principal, colegios, mercado... distribución: 1 vecinos en el edificio la casa dispone de: portero automático"" ";"Piso en venta en calle Habana, 11, Centre Vila - La Geltrú, Vilanova i la Geltrú";"168000";"82";"3";"3ª";"1.7247088";"41.2213629"
"3";"https://www.idealista.com/inmueble/2062083/";" ""sólo 4 vecinos y dos terrazas con dos plazas de parking de alquiler por tan sólo 86 euros al mes! totalmente amueblado listo para entrar a vivir! el número de habiitaciones son 2 más una hecha vestidor, bien distribuido con baño espacioso, puertas de haya, parquet, climalit blanco, cocina equipada y todo exterior distribución: terraza descubierta de 34 m2 2 vecinos en el edificio la casa dispone de: portero automático."" ";"Piso en venta en avenida Cataluña, 47, Sant Feliù de Codines";"125000";"65";"3";"1ª";"2.2188926";"41.677988"
"4";"https://www.idealista.com/inmueble/2021152/";" ""Paredes lisas, puertas wengue, suelo tarima muy moderno cocina reformada, muebles haya lisos. suelo cerámica y alicatado a juego. Si te gusta el piso no dudes en contactar conmigo seguro que llegamos a un acuerdo. Plaza de garaje. opcional. Acepto permuta por duplex zona kelme, porcelanosa, campo futbol, travalon. etc negociamos la diferencia.  distribución: 8 vecinos en el edificio la casa dispone de: portero automático."" ";"Piso en venta en calle Capitan Baltasar Tristany, 23, Corazón de Jesús, Elche / Elx";"108000";"90";"3";"3ª";"-0.7086571";"38.2660369"
"5";"https://www.idealista.com/inmueble/2032466/";" ""Piso totalmante reformado, exterior, zona jardin. Suelo de tarima, paredes lisas, ventanas de climalit, puerta blindada, reforma moderna, puertas de haya vaporizada, buena oportunidad. Distribución: 4 vecinos en el edificio La casa dispone de: Portero automático."" ";"Piso en venta en calle General Barroso, 69, L'Hort de Senabre, València";"90000";"84";"3";"4ª";"-0.3923625";"39.4503376"
"6";"https://www.idealista.com/inmueble/1635856/";" ""100. 000€ Dúplex en LA CAÑADA Nuevo, Céntrico 74 m2 construidos + 15 m2 repartidos en 2 terrazas 2 hab 1 Baño amueblado, columna hidromasaje y 1 aseo Suelo porcelánico KERABEN carpintería en Haya Aire acondicionado conductos y bomba de calor Cocina equipada. A 300 M PARADA DE METRO distribución: terraza descubierta de 15 m2 3 vecinos en el edificio."" ";"Dúplex en venta en calle Siete, 45, La Cañada, Paterna";"1e+05";"75";"2";"1ª";"-0.4885234";"39.5273636"
"7";"https://www.idealista.com/inmueble/1661408/";" ""Casa independiente de 180 m2 en dos plantas en parcela de 800 m2, en planta piso salón comedor, cocina office, 3 habitaciones, un baño, en planta baja 3 habitaciones, un aseo, trastero, garaje, huerto, jardín con barbacoa, calefacción de gasoil (en zona independiente), suelo gres porcelánico, carpintería interior haya y exterior de aluminio con doble cristal y persianas, reformada en el 2007."" ";" Casa o chalet independiente en venta en calle Sitges, 194, Olèrdola";"280000";"180";"6";"Hipoteca 717 eur/mes - ";"1.7209322";"41.3176043"
"8";"https://www.idealista.com/inmueble/1662991/";" ""Piso en mollet. 2º real con ascensor, 60m2, amueblado, 3 habitaciones, baño nuevo (techo alum. , ducha hidromasaje, ) cocina recién reformada, lavadero, balcón, techo madera, puertas de haya vaporizada, calefacción, ventanas aluminio, caldera gas natural, puerta blindada..."" ";"Piso en venta en calle Magallanes, 8, Plana Lledó - Can Borrell, Mollet del Vallès";"93000";"60";"3";"2ª";"2.2105164";"41.5448163"
"9";"https://www.idealista.com/inmueble/1607408/";" ""urge vender. Reforma integral a estrenar, cocina vitrocerámica y horno, campana extracción inox, puertas de haya, baños nuevos, halógenos empotrados más tomas de luz para lamparas preinstaladas, suelo parquet haya, ventanas exteriores de aluminio acristalamiento Climalit. cerca del metro linea 1. fachada recién pintada. distribución: 3 vecinos en el edificio."" ";"Piso en venta en avenida Reyes Católicos, 88, Alginet";"95000";"120";"4";"4ª";"-0.4695622";"39.2612604"
"10";"https://www.idealista.com/inmueble/1614341/";" ""ático en zona comercial. totalmente reformado, exterior con balcón de 8 m2, 3 habitaciones antes 4, gran salón comedor. Puertas Haya, Ventanas Aluminio Blanco, suelo de gres, A/aconcicionado + bomba calor. Para entrar a vivir!  distribución: terraza descubierta de 8 m2."" ";"Ático en venta en calle Pablo Picasso, 24, Rocafonda - El Palau, Mataró";"80000";"90";"3";"5ª";"2.4483017";"41.5470904"
