"";"URL";"Info";"Direccion";"Precio";"Superficie";"Habitaciones";"Planta";"Longitud";"Latitud"
"1";"https://www.idealista.com/inmueble/30042990/";" ""Casa 270m2 utiles, de 4 habitaciones dobles, 1 baño completo, cocina equipada, lavadero, comedor estar, terraza 40m2, calefacccion de gas ciudad, puerta blindada, portero automatico, vidrios dobles, servicios dados de alta de agua, luz, gas, carpinteria exterior de aluminio, carpinteria interior de haya, soleado, estado certificación: en tramite."" ";" Casa o chalet independiente en venta en Centro - Catedral, Terrassa";"362000";"310";"4";"Hipoteca 927 eur/mes - ";"2.0153262";"41.5633819"
"2";"https://www.idealista.com/inmueble/29670259/";" ""Vivienda duplex, situada en zona nueva de bufala, consta de 130m3 + 30 de terraza. Dispone de 4 habitaciones, 3 dobles, 2 baños completos, zona polivante tipo despacho, gran terraza de 30m2 apta para barbacoas y pasar buenos ratos en familia. Lavadero, gran cocina office, salon comedor de 30m2, una vivienda para disfrutarla, con acabados de calidad, calefaccion por radiadores, cerramientos de aluminio, puertas de haya y suelos de gres."" ";"Dúplex en venta en Bufalà, Badalona";"3e+05";"140";"4";"Bajo";"2.2390988";"41.4585429"
"3";"https://www.idealista.com/inmueble/29505905/";" ""Piso esquinero en zona de Els Molins de Sitges, todo exterior, salon comedor 30m²con salida a jardín de 120m², tres habitaciones, una suitte, todas con armarios empotrados, cocina independiente, galeria, calefacción a gas, preinstalación de aire acondicionado, suelo de parquet, carpintería interior de haya, exterior de aluminio, doble cristal, parking, bien orientado y soleado. A 7 minutos de la estación"" ";"Piso en venta en Urb. Els Molins, Els Molins-Observatorio-Pins Vens, Sitges";"420000";"96";"3";"1ª";"1.8159115";"41.238533"
"4";"https://www.idealista.com/inmueble/29260756/";" ""Superf. 50 m², 1 habitación doble, 1 baño, cocina (COMPLETA), suelos CERAMICA, ascensor, muebles, puerta blindada, año construcción 2007, gastos comunidad INCLUIDOS, carpintería exterior ALUMINIO CLIMALIT, carpintería interior MADERA HAYA, Estado certificación:."" ";"Piso en venta en Zaidín, Granada";"112300";"50";"1";"1ª";"-3.6000326";"37.1574084"
"5";"https://www.idealista.com/inmueble/29153905/";" ""Piso exterior en finca seminueva de 2 habitaciones-2 baños-salon con mirador-cocina con galeria-terraza-aire acondicionado frio calor por conductos-paredes lisas-puertas de haya-trastero en vivienda-impecable para entrar a vivir-cercana a la playa."" ";"Piso en venta en Playa de la Malvarrosa, València";"130000";"85";"2";"1ª";"-0.328017";"39.479739"
"6";"https://www.idealista.com/inmueble/29030760/";" ""Superf. 67 m², 2 habitaciones (1 doble, 1 individual), cocina (COMPLETA), terraza (PATIO 17 MTS), suelos TARIMA FLOTANTE, muebles, puerta blindada, año construcción 2008, carpintería exterior ALUMINIO CLIMALIT, carpintería interior MADERA HAYA, Estado certificación SIN HONORARIOS PARA EL COMPRADOR!."" ";"Piso en venta en La Zubia";"90000";"67";"2";"Bajo";"-3.5732582";"37.1193445"
"7";"https://www.idealista.com/inmueble/29030781/";" ""Superf. 88 m², 2 habitaciones (1 doble, 1 individual), 2 baños, cocina (COMPLETA), terraza (DOS (DE 35 MTS / DE 20 MTS)), suelos TARIMA, garaje (Nº 3), ascensor, puerta blindada, año construcción 2008, carpintería exterior ALUMINIO CLIMALIT, carpintería interior MADERA HAYA, aire acondicionado, orientación SUR, Estado certificación SIN HONORARIOS PARA EL COMPRADOR!."" ";"Piso en venta en La Zubia";"135000";"88";"2";"2ª";"-3.5770582";"37.1212445"
"8";"https://www.idealista.com/inmueble/29291336/";" ""Superf. 70 m², 3 habitaciones (2 dobles, 1 individual), 1 baño, cocina (AMERICANA OFFICE), comedor (SALON), terraza (33 M2), suelos GRES, ascensor, calefacción, portero automático, gastos comunidad 70 €, agua, luz, gas, carpintería exterior ALUMINIO BLANCO, carpintería interior HAYA VAPORIZADA, exterior, orientación ESTE, soleado, balcón (2 BALCONES), Estado certificación: En trámite."" ";"Piso en venta en Creu de Barberà, Sabadell";"147990";"70";"3";"3ª";"2.12475";"41.52503"
"9";"https://www.idealista.com/inmueble/29266964/";" ""Piso 90 m², de 4 habitaciones, 2 dobles, 2 individuales, 2 baños completos, comedor estar con terraza, cocina equipada, suelos de gres, ascensor, armarios, calefaccion de gas ciudad, puerta blindada, portero automatico, vidrios dobles, gastos de comunidad incluidos, servicios dados de alta de agua, luz, gas, carpinteria exterior de aluminio, carpinteria interior de haya, certificado energetico en tramite."" ";"Piso en venta en Roc Blanc, Terrassa";"148000";"90";"4";"Bajo";"1.9888302";"41.5589153"
"10";"https://www.idealista.com/inmueble/29210398/";" ""Superf. 101.22 m² const, 3 hab (1 suite, 2 dob), 2 baños, cocina oficce (12 m2), lavadero (4 m2), comedor (25 m2), suelos gres, ascensor, calefacción, muebles, puerta blindada, carpintería exterior aluminio d/v, carpintería interior haya, exterior, soleado, balcón. Certificado energetico en curso de tramitacion- PARQUNG INCLUIDO!!!"" ";"Piso en venta en Valldaura - Ctra. de Cardona, Manresa";"147260";"101";"3";"1ª";"1.8176906";"41.7243363"
"11";"https://www.idealista.com/inmueble/29112234/";" ""Piso de 65 m², de 3 habitaciones, 2 dobles, 1 individual, 1 baño completo, 1 aseo, comedor estar con terraza, cocina office equipada, suelos de parquet y gres, plaza de parking doble incluida, ascensor, puerta blindada, portero automatico, servicios dados de alta de agua, luz, gas, carpinteria exterior de aluminio, carpinteria interior de haya, aire acondicionado bomba calor/frio, certificado energetico en tramite."" ";"Piso en venta en Ca n'Anglada, Terrassa";"156000";"90";"3";"2ª";"2.0303743";"41.5582333"
"12";"https://www.idealista.com/inmueble/29134168/";" ""Precioso piso de hormigón, con buena altura, en muy buena zona de Arteagabeitia, de 3 dormitorios, salón comedor, cocina equipada, baño. Calefacción. Ventanas de aluminio con rotura de puente térmico y doble acristalamiento. Suelo de parquet flotante, puertas de madera acabado en haya. Trastero de casi 5 m2. Próximo a colegio y zonas comerciales."" ";"Piso en venta en Arteagabeitia - Retuerto - Kareaga, Barakaldo";"131000";"85";"3";"Bajo";"-2.9994141";"43.2896276"
"13";"https://www.idealista.com/inmueble/30337962/";" ""Superficie 100 m² útiles, 160 m² de solar, 4 habitaciones (una abajo), 2 baños, cocina amueblada s/e, terraza lavadero (patio interior), salón, suelos tarima, porche abierto para 2 vehículos, puerta blindada, año construcción 2008, agua caliente por gas butano, carpintería exterior aluminio burdeos, climalit, carpintería interior haya, luminoso, estado certificación energética: en trámite."" ";" Chalet adosado en venta en Olivenza";"107900";"122";"4";"Hipoteca 276 eur/mes - ";"-7.0972181";"38.6894304"
