"";"URL";"Info";"Direccion";"Precio";"Superficie";"Habitaciones";"Planta";"Longitud";"Latitud"
"1";"https://www.idealista.com/inmueble/645460/";" ""Piso de 85m2 construidos, año de construccion 2005, 3 habitaciones (2 dobles, 1 sencilla), cocina office con vitroceramica (6m2), comedor(24m2), 1 baño (3pzas-con bañera mampara), 1 aseo (2pzas), exterior, soleado, ascensor,balcon (4m2), carpinteria exterior de aluminio doble vidrio, interior de haya. PRECIO NEGOCIABLE!!!"" ";"Piso en venta en Plaça Catalunya, Manresa";"133000";"82";"3";"Bajo";"1.8220459";"41.7319006"
"2";"https://www.idealista.com/inmueble/647977/";" ""Superf. 70 m² útiles, 3 habitaciones, 1 baño, cocina amueblada c/e, terraza lavadero, comedor, balcón amplio, suelos tarima, ascensor, puerta blindada, año construcción 35 años (reformado), gastos comunidad 40 €/mes, agua (termo eléctrico), luz, carpintería exterior aluminio blanco, vidrios climalit, carpintería interior madera haya, exterior, reformado."" ";"Piso en venta en Santa Marina - La Paz, Badajoz";"131000";"70";"3";"6ª";"-6.9751555";"38.8713311"
"3";"https://www.idealista.com/inmueble/648017/";" ""Superf. 60 m² útiles, 2 habitaciones, 1 baño, cocina (vacia), terraza lavadero, salón, terraza, suelos tarima, puerta blindada, vidrios dobles (climalit), gastos comunidad 12 €/mes, agua, luz, carpintería exterior aluminio blanco, carpintería interior haya, exterior, muy luminoso, bonito, totalmente reformado, a estrenar, instalaciones de agua y luz tambien nuevas, bonitas vistas."" ";"Piso en venta en San Roque - Ronda norte, Badajoz";"65000";"60";"2";"2ª";"-6.9617006";"38.8731287"
"4";"https://www.idealista.com/inmueble/649565/";" ""Superf. 50 m² útiles, 1 habitación doble, 1 baño, cocina americana amueblada c/e, terraza lavadero, comedor, suelos tarima en haya y gres, ascensor, armarios, calefacción, se vende amueblado, puerta blindada, vidrios dobles (climalit), año construcción 2008, gastos comunidad, agua (gas natural), carpintería exterior aluminio blanco, carpintería interior haya, exterior, luminoso, balcón. Tambien en alquiler con Ref. 872."" ";"Piso en venta en San Roque - Ronda norte, Badajoz";"96000";"54";"1";"4ª";"-6.9556444";"38.8767322"
"5";"https://www.idealista.com/inmueble/799260/";" ""OPORTUNIDAD! Superficie 60 m² útiles, 2 habitaciones, 1 baño, cocina amueblada c/e, terraza lavadero con cierre, salón, suelos tarima, plaza de garaje (amplia) y trastero opcional no incluidos en el precio, ascensor, armarios, bomba f/c, puerta blindada, vidrios dobles (climalit), año construcción 2005, gastos comunidad, carpintería exterior aluminio blanco, carpintería interior haya, exterior, luminoso, balcón... bonito."" ";"Piso en venta en Ctra de Sevilla - Ronda sur, Badajoz";"85000";"60";"2";"2ª";"-6.9505847";"38.8759872"
"6";"https://www.idealista.com/inmueble/929980/";" ""Superf. 72 m², útil 62 m², 2 habitaciones (2 dobles), 1 baño, cocina, lavadero, comedor, trastero, suelos porcelanato, ascensor, armarios, puerta blindada, portero automático, año construcción 2008, gastos comunidad 45€, agua, luz, carpintería exterior aluminio, carpintería interior haya, aire acondicionado, exterior, orientación noroeste, soleado, balcón, Iva incluido, registros y notaria no incluidos en el precio.."" ";"Piso en venta en El Alquián - San Miguel, Almería";"84500";"72";"2";"2ª";"-2.34984";"36.85127"
"7";"https://www.idealista.com/inmueble/1225981/";" ""Superf. 50 m² útiles, 1 habitación, 1 baño, cocina americana amueblada c/e, terraza lavadero, salón, suelos piedra natural, ascensor, armario empotrado, calefacción, puerta blindada, portero automático, vidrios dobles (climalit), año construcción 2008, agua (gas natural), carpintería exterior aluminio blancas, carpintería interior haya, palillería, exterior, luminoso."" ";"Piso en venta en Pardaleras, Badajoz";"124000";"50";"1";"1ª";"-6.9699017";"38.8733473"
"8";"https://www.idealista.com/inmueble/1094883/";" ""Piso de 75,36m2 construidos, año de construccion 2010, 2 habitaciones (12m2-9m2), cocina office (5m2), comedor (22m2), 2 (4m2-4pzas-bañera/3,5m2-3pzas-ducha), 1 balcon (3,5m2), suelos de gres y parquet, carpinteria interior de haya, exterior de aluminio doble vidrio, calefaccion de gas natural, armarios empotrados, ascensor, portero automatico, zona comunitaria con parque infantil. PARQUING Y TRASTERO INCLUIDOS!!"" ";"Piso en venta en Valldaura - Ctra. de Cardona, Manresa";"135000";"75";"2";"1ª";"1.8177297";"41.7224487"
"9";"https://www.idealista.com/inmueble/32302203/";" ""Vivienda para reformar en avenida de carlos haya. Dispone de tres dormitorios, un baño, cocina equipada, terraza y zona deportiva. Junto salida a la autovia, próximo a la universidad. Oportunidad de entidad financiera!solicite más información en el 9.5. 2.0. 6.2. 4.1. 2."" ";"Piso en venta en La Florida - Parque norte, Málaga";"109000";"109";"3";"";"-4.4554305";"36.7264393"
"10";"https://www.idealista.com/inmueble/32317047/";" ""Inmobiliaria Oficial.Inmueble de tres dormitorios, un baño y terraza situado en la planta tercera de un edificio de cinco plantas sobre rasante destinada a viviendas que no dispone de ascensor. Se encuentra situado en el municipio de Manacor, provincia de Baleares. Vivienda distribuida en tres dormitorios, un baño, salón comedor, cocina con galería y terraza. Cuenta con puerta de entrada normal y el resto de paso de..."" ";"Piso en venta en Manacor Centro, Manacor";"67900";"89";"3";"3ª";"3.2066018";"39.5741759"
