"";"URL";"Info";"Direccion";"Precio";"Superficie";"Habitaciones";"Planta";"Longitud";"Latitud"
"1";"https://www.idealista.com/inmueble/28461357/";" ""Duplex con terraza ático. Inmueble de tres alturas compuesto de vestíbulo, aseo, amplio salón de 35m y cocina semiamueblada, todo ello en la planta principal. En la primera planta se encuentran tres dormitorios y dos baños completos (uno de ellos dentro de la habitación principal). Amplia terraza ático de 25m de uso privado en la planta superior. Semireformado, con puerta de entrada semiacorazada, ventanas de climalit, suelo de parquet, puertas de interior en haya y con preinstalación de aire acondicionado. Urbanización provista de jardines y zonas comunes con amplia piscina comunitaria y pista de juego para los niños. Vivienda situada a la entrada del municipio con muy buena ubicación, próxima a colegios, ambulatorio, supermercados, ocio, etc. Rebajado! Antes 186. 000€."" ";"Dúplex en venta en calle Sevillanos, 22, Sevilla la Nueva";"159000";"123";"3";"1ª";"-4.0246506";"40.3493634"
"2";"https://www.idealista.com/inmueble/32420753/";" ""Disponemos de apartamentos de un dormitorio. Salon comedor. Cocina amueblada con electrodomesticos. Baño completo exterior. Carpinteria exterior aluminio con rotura puente termico y climalit doble. Carpinteria interior de haya. Plaza de garaje y trastero de 9 m. La urbanización tiene piscina de adultos y de niños, zona de recreo para niños y pista de padell. Con terraza de hasta 30 mtrs. Zona privada. con todos los servicios cerca, mercadona, centro de salud y especialidades, renfe, etc."" ";"Piso en venta en luis sauquillo, 99, El Arroyo - La Fuente, Fuenlabrada";"96900";"74";"1";"2ª";"-3.8038607";"40.2756195"
"3";"https://www.idealista.com/inmueble/30364555/";" ""¡Viviendas nuevas exclusivas de diseño!En Ciudalcampo, en la Urbanización Ciudalgolf, entorno residencial en la zona norte, tranquilo y bien comunicado, situado junto a la A-1. La urbanización dispone de campos de golf e hípica en las inmediaciones, zona deportiva comunitaria, gimnasio con spa y jacuzzi y doble control de seguridad con vigilancia 24h, para disfrutar de la máxima seguridad y discreción.Viviendas unifamiliares de lujo, espaciosas y muy luminosas, distribuidas en 3 plantas, con sótano destinado a garaje con capacidad para varios coches, 5 habitaciones, 5 baños, terraza, amplio porche, hall de 10 metros de altura y jardín con piscina privada.Con acabados de excepcionales calidades, llenos de cuidados detalles: carpintería exterior de aluminio lacado en cedro al exterior y madera de haya vaporizada al interior con doble acristalamiento, carpintería interior de madera de haya vaporizada, puerta de acceso a la vivienda blindada, armarios empotrados, suelos de tarima, travertino y calefacción.No dejes pasar esta fantástica oportunidad e infórmate sin ningún tipo de compromiso.PRECIO NEGOCIABLE!PROPONGANOS SU OFERTA Y LA ESTUDIAREMOS! Con piscina privada a excepción de la casa nº72 que dispone de una amplia parcela. Año de construcción: 2009."" ";" Casa o chalet independiente en venta en calle Monte Umbria, Cobeña";"1335000";"518";"5";"Hipoteca 3.426 eur/mes - ";"-3.502863";"40.5676199"
"4";"https://www.idealista.com/inmueble/1943982/";" ""Vivienda dúplex en venta o alquiler con opción a compra por 400 € mensuales en C/Arroillo 3, 1ºA c/v C/Cristóbal Colón 11, en Villamanta. Consta de cocina, salón comedor, dos dormitorios y dos baños. Edificio de estética tradicional, superior al resto en sus calidades y acabados. Situado en una zona tranquila y bien comunicada. Fachadas exteriores e interiores de ladrillo rústico artesanal y mortero blanco Cemex. Cubierta de teja sobre perfilería de acero galvanizado. Carpintería exterior de aluminio imitación madera, con rotura de puente térmico, de 70 mm. Vidrio climalit. Gres exterior Aragón. Azulejo de gran formato, Marazzi. Sanitarios y grifería Roca. Agua caliente con energía solar. Puertas exteriores con doble blindaje. Puertas interiores, armarios y barandillas de haya vaporizada. Tarima de cerezo tropical, 8 mm, ac4, antiestático, Witex. Pintura plástica en tonos claros sobre paramentos lisos de yeso maestreado. La vivienda no tiene gastos de comunidad. El edificio cuenta con garaje comunitario."" ";"Dúplex en venta en calle Cristóbal Colón, 11, Villamanta";"112000";"74";"2";"1ª";"-4.1104369";"40.299979"
"5";"https://www.idealista.com/inmueble/27606874/";" ""Se vende piso en Soto Del Real totalmente reformado, “en la zona, no hay ningún piso que lo supere en características y calidad”, es un 2º y sin vecinos arriba. Con instalaciones de electricidad, fontanería y calefacción nuevas en su totalidad suministro de gas propano canalizado caldera de gas estanca con acumulador de agua sanitaria incluido “la mas alta en calidad de su gama” con aislamiento térmico en suelos, muros exteriores y techos, produciendo un ahorro en calefacción y climatización de más de 600 € anuales en comparación con pisos del mismo tipo pero sin la misma reforma que éste revestimientos del suelo del piso y paredes del baño y cocina, con gres porcelánico de 1ª calidad paredes lisas techos de pladur y moldura escayola armarios empotrados forrados con cajoneras y baldas y acabados con puertas correderas en haya vaporizada puerta de entrada acorazada y puertas interiores macizas en haya vaporizada ventanas de aluminio puente térmico, oscilo-batientes con cristal climalit y persianas de aluminio hilo musical, teléfono y televisión en salón y habitaciones saneamientos y grifería de 1ª calidad toldo en ventana salón. Opcional con muebles."" ";"Piso en venta en calle de los Álamos, 3, Soto del Real";"190000";"79";"3";"3ª";"-3.7860313";"40.7521688"
"6";"https://www.idealista.com/inmueble/32715356/";" ""Magnifico dúplex, con urbanización privada en El Ensanche. La vivienda dispone de tres dormitorios y dos baños completos, en la segunda planta; en la planta primera se encuentra un amplio recibidor, un aseo de cortesía, la cocina, amueblada, equipada con electrodomésticos y terraza tendedero y un gran salón comedor. Vivienda con espectaculares zonas comunes, piscina, zonas verdes y parque infantil, y muy buenas calidades, suelos de tarima maciza, calefacción individual de gas natural, con caldera de condensación recién instalada, carpintería interior en haya, armarios empotrados acabados y carpintería exterior de aluminio con doble acristalamiento.   Incluye plaza de garaje y trastero. Zona nueva ampliamente consolidada,  con todos los servicios necesarios para tener una excelente calidad de vida. Esta zona de la ciudad dispone de múltiples servicios, colegios, dotaciones deportivas, centros de salud, comercios, centros de ocio, parques y jardines. Los accesos a Madrid y a cualquier punto del Corredor del Henares son rápidos y sencillos: conexión directa con la autopista R2 y autovía A2 de Madrid- Barcelona. Líneas de autobús urbano, con parada próxima, que conectan con cualquier punto de la Ciudad Complutense en pocos minutos.  ."" ";"Dúplex en venta en calle jorge luis borges, Ensanche, Alcalá de Henares";"249900";"116";"3";"1ª";"-3.3722415";"40.4951609"
"7";"https://www.idealista.com/inmueble/29946713/";" ""Ref. 6001380 Ciudalcampo (Madrid)¡Viviendas nuevas exclusivas de diseño!En Ciudalcampo, en la Urbanización Ciudalgolf, entorno residencial en la zona norte, tranquilo y bien comunicado, situado junto a la A-1. La urbanización dispone de campos de golf e hípica en las inmediaciones, zona deportiva comunitaria, gimnasio con spa y jacuzzi y doble control de seguridad con vigilancia 24h, para disfrutar de la máxima seguridad y discreción.Viviendas unifamiliares de lujo, espaciosas y muy luminosas, distribuidas en 3 plantas, con sótano destinado a garaje con capacidad para varios coches, 5 habitaciones, 5 baños, terraza, amplio porche, hall de 10 metros de altura y jardín con piscina privada*.Con acabados de excepcionales calidades, llenos de cuidados detalles: carpintería exterior de aluminio lacado en cedro al exterior y madera de haya vaporizada al interior con doble acristalamiento, carpintería interior de madera de haya vaporizada, puerta de acceso a la vivienda blindada, armarios empotrados, suelos de tarima, travertino y calefacción.No dejes pasar esta fantástica oportunidad e infórmate sin ningún tipo de compromiso.* Con piscina privada a excepción de la casa nº72 que dispone de una amplia parcela.Precio: Desde 1.316.900 € hasta 1.571.300 €"" ";" Casa o chalet independiente en venta en calle Monte Umbría, 68, Ciudalcampo";"1316900";"517";"5";"Hipoteca 3.380 eur/mes - ";"-3.502963";"40.5656199"
"8";"https://www.idealista.com/inmueble/1854985/";" ""Todo exterior, silencioso y muy soleado. Orientación este-oeste. Reformado, para entrar. 4º con ascensor, plaza de garaje y terraza. tres dormitorios, dos baños completos, cuatro armarios empotrados. Salón con muebles de escayola y chimenea, puertas de haya estilo moderno. doble ventana, mosquiteras enrollables. caldera individual agua caliente y calefacción. Urb. con piscinas, tenis, zonas infantiles, médico, al lado renfe y autobús a Madrid, junto al Parque de las suertes distribución: terraza descubierta de 10 m2 3 vecinos en el edificio la casa dispone de: portero automático."" ";"Piso en venta en calle Pico de Peñalara, 43, Parque de la Coruña - Las Suertes, Collado Villalba";"150000";"95";"3";"4ª";"-4.0029469";"40.6226757"
"9";"https://www.idealista.com/inmueble/354980/";" ""2ª Vivienda, construida hace 4 años, porche y salon con vigas de madera antiguas, tejas antiguas, patio y porche de 36 m2, estufa de fundicion en salon, calefaccion gasoil, tanque exterior de 1000l, ventanas pvc simil madera con cristales climalit, 2 escaleras con peldaños de madera de haya, 2 dormitorios con altillos donde cabe otra cama, 1 dormitorio abuhardillado, cocina rustica equipada con nevera, lavadora, horno, vitroceramica, campana acero, caldera ferroli. Pintura paredes temple liso."" ";" Casa o chalet independiente en venta en callejón Santa Juana, 10, Cubas de la Sagra";"285000";"200";"5";"Hipoteca 731 eur/mes - ";"-3.8341753";"40.1868564"
"10";"https://www.idealista.com/inmueble/2064067/";" ""hipoteca en condiciones muy ventajosas (multidivisas)ubicación en zona residencial pero con todos los servicios próximos: colegios, autobús, metro, supermercado, bancos, centro médico,.. . 4 habitaciones, 4 terrazas, 3 baños, cocina 12m², salón independiente 29 m², dormitorio principal con vestidor de 21m², doble ventanas en dormitorios y salón, suelos porcelanosa, calefacción placas solares y gas natural, puerta blindada, puertas madera, sistema de video-portero en cocina y buhardilla, instalación de alarma, garaje 2 plazas. Cocina, baños y aseos con terminaciones Avant(mayor calidad)del Grupo Porcelanosa, Tarima de madera de haya en primera planta y buhardilla.la direccion exacta es C/ Juan jose millas, 31 (se indica direccion diferente para que salga bien ubicada al buscarlo con google maps) distribución: terraza descubierta de 28 m2 la casa dispone de: portero automático."" ";" Chalet pareado en venta en calle Miguel Gila, 25, Rivas Futura, Rivas-Vaciamadrid";"480000";"205";"4";"Hipoteca 1.232 eur/mes - ";"-3.5223927";"40.3483079"
