"";"URL";"Info";"Direccion";"Precio";"Superficie";"Habitaciones";"Planta";"Longitud";"Latitud"
"1";"https://www.idealista.com/inmueble/31111666/";" ""CASA 100 M2 DIVIDIDA EN PLANTA BAJA + PRIMERA PLANTA.LA PB. CONSTA DE AMPLIO SALÓN-COMEDOR 22 M2, COCINA EQUIPADA Y REFORMADA 10 M2 Y ASEO CON PLATO DE DUCHA. DISPONE DE ANEXO CON LOCAL DE 50 M2 CON PERSIANA Y ENTRADA INDEPENDIENTE.EN PRIMERA PLANTA 3 DORMITORIOS ( DOS DOBLES ), BAÑO COMPLETO CON PLATO DE DUCHA Y GRAN TERRAZA DE 45 M2 .A/A., CALEFACC., SUELO PARQUET Y MÁRMOL, PUERTAS DE HAYA Y VENTANAS ALUMINIO. SITUADA EN ZONA TRANQUILA Y BIEN COMUNICADA. CERCA COLEGIOS Y SUPERMERCADOS. LISTA PAREA ENTRAR A VIVIR."" ";" Casa o chalet independiente en venta en La Morera, Badalona";"3e+05";"105";"3";"Hipoteca 768 eur/mes - ";"2.245137";"41.4594353"
"2";"https://www.idealista.com/inmueble/31239794/";" ""PISO 90 M2 CON 3 DORMITORIOS ( 2 DOBLES ), COCINA TOTALMENTE EQUIPADA 10 M2 + LAVADERO, SALÓN 22 M2 CON SALIDA A BALCÓN-TERRAZA 10 M2, ASEO CON PLATO DE DUCHA Y BAÑO COMPLETO CON BAÑERA. SUELO DE TERRAZO, A/A., CALEFACC., PUERTA PRINCIPAL BLINDADA, PUERTAS DE HAYA Y VENTANAS ALUMINIO DOBLE CRISTAL. FINCA CON ASCENSOR. EXTERIOR, MUY LUMINOSO. TIENE ZONA COMUNITARIA CON ZONAS AJARDINADAS. LA FINCA DISPONE DE PLAZA DE PK + TRASTERO. SITUADO EN ZONA TRANQUILA Y BIEN COMUNICADO CON LÍNEAS DE AUTOBÚS; A 10 MIN DEL CENTRO DE BADALONA."" ";"Piso en venta en La Morera, Badalona";"243000";"95";"3";"3ª";"2.2477592";"41.4607929"
"3";"https://www.idealista.com/inmueble/28582224/";" ""Delante de la montaña de Montserrat orientado al sur con una iluminación extraordinaria, se vende piso de 84,98m2 con un salón comedor de 25m2 con salida al balcón 3,50m2 donde se puede disfrutar de un magnífico paisaje de montaña. La cocina es exterior nueva, también tiene una salida a un amplio lavadero. El piso tiene parquet en todas las estancias y 3 habitaciones una de ellas suite con bañera y cuatro piezas. Hay otro baño completo con plato de ducha incorporado. La calefacción y el Aire son por conducto, los exteriores son de climalit y las puertas de haya. Una vivienda muy luminosa y orientada a dos calles.Posibilidad de ofertar"" ";"Piso en venta en calle Balmes, 51, Monistrol de Montserrat";"91500";"85";"3";"3ª";"1.8440561";"41.6078008"
"4";"https://www.idealista.com/inmueble/28582343/";" ""Situado en zona tranquila con todos los servicios a pie de calle, se vende piso semi nuevo de 78 m2 con un amplio salón comedor con salida balcón con vistas a la montaña. La cocina estupenda y exterior con salida a lavadero. La vivienda está muy bien distribuida en forma de cuadrado exterior en todas sus estancias. Tiene tres habitaciones una de ellas con baño incorporado y también tiene otro baño completo con cuatro piezas. La calefacción y el aire son por conducto los exteriores de aluminio doble cristal las puertas de haya y los suelos de gres. Vivienda orientada a dos calles muy luminosa. PARKING ANEXO A LA VIVIENDA Nº 17. Posibilidad de ofertar"" ";"Piso en venta en calle Lluis Companys, 10, Monistrol de Montserrat";"101700";"78";"3";"1ª";"1.85093";"41.60455"
"5";"https://www.idealista.com/inmueble/29059224/";" ""Piso en muy buen estado, frente a la CATEDRAL, TERRAZA de unos 30 metros, TRASTERO Y GARAJE incluidos en el precio, con acceso directo por el ASCENSOR, 4 ARMARIOS EMPOTRADOS forrados, cajoneras y con altillos, suelo de TARIMA, COCINA AMUEBLADA y con electrodomesticos, ventanas oscilo batientes, muy buenas calidades y aislamientos, HALÓGENOS en toda la casa, videoportero, el piso se calienta muy rápido, CALEFACCION INDIVIDUAL gas ciudad. Se vende con el mobiliario que tiene, si el comprador los quiere, sin incremento en el precio. Zona peatonal muy tranquila, sin ruidos, ningún bar cerca, ni posibilidad de que lo haya. Debajo del piso hay un local propiedad del ayuntamiento, actividad de oficinas y el piso se calienta casi solo."" ";"Piso en venta en plaza Inmaculada Concepción, 8, Centro, Palencia";"195000";"76";"2";"1ª";"-4.5363553";"42.0106199"
"6";"https://www.idealista.com/inmueble/32384839/";" ""Piso en venta en Indautxu, zona Sabino Arana, para actualizar . El piso consta de 149 m2 aproximadamente y está distribuido en 5 habitaciones, salón (con salida a balcón, desde dónde disfrutaras de buenas vistas),  cocina office equipada en buen estado,  3  baños (1 nuevo,  con plato de ducha y 2 de origen). Tiene calefacción y agua caliente central. Consta de suelo de madera de elondo, parquet flotante de haya y moqueta;  puertas de sapeli y blancas; y ventanas de madera. El edificio es de hormigón y tiene ascensor con acceso para minusválidos. Amplio piso para reformar con muchas posibilidades,  exterior, soleado, amueblado,  con trastero incluido en precio y parcela de garaje opcional. El piso se encuentra ubicado en zona llana, junto a todos los servicios: colegios, ambulatorio, supermercados, bancos.. . Tiene a mano las paradas de autobús, tranvía,  metro,  tren y termibus.  Está a dos pasos del centro de Bilbao,  al lado de espacio recreativo verde y tiene rápido acceso a la autovía. Zona en renovación urbanística."" ";"Piso en venta en Basurtu, Bilbao";"450000";"149";"5";"1ª";"-2.9455291";"43.262818"
"7";"https://www.idealista.com/inmueble/32312271/";" ""Planta Baja de 2hab dobles (antes era de 3 hab)cocina independiente, comedor grande, Baño con plato de ducha, suelos de parquet, calefacción, puertas de haya, ventanas de aluminio, lavadero.PISO ADECUADO PARA PERSONA CON MINUSVALIA."" ";"Piso en venta en calle de costabona, Can Deu-La Roureda, Sabadell";"123000";"100";"2";"Bajo";"2.0848714";"41.5707069"
"8";"https://www.idealista.com/inmueble/31679897/";" ""Vivienda céntrica, junto a colegio y guardería. Bastantes mejoras respecto a obra (puertas de haya, contraventanas, mosquiteras, pergo, bodega completa con cocina completa y chimenea, cuarto para plancha, despensa, trastero.. . ). 2 plazas de garaje individual. Jardín y 2 terrazas amplias. Merece la pena verla. Incluídos practicamente todos los muebles en el precio. Posibilidad de hipoteca actual sin gastos (excelentes condiciones)."" ";" Chalet adosado en venta en calle escultor dionisio lasuen, 2, La Muela";"165000";"224";"3";"Ha bajado";"-1.11862";"41.58181"
"9";"https://www.idealista.com/inmueble/31450606/";" ""Venta de pisos en Sagunto, SIN COMISION INMOBILIARIA.Excelente promoción de viviendas de Obra Nueva en Sagunto, al Norte del Río Palancia.Pisos en venta de 1 a 3 dormitorios.Espectacular edificio de 9 alturas y 163 viviendas de 1 a 3 dormitorios, con increíbles vistas al castillo, piscina con zona de niños y adultos, Garaje y trastero (Precio aparte).Construido con calidades de 1ª: Cerramientos de climalit, puerta de entrada blindada, armarios empotrados forrados (Chapa madera de haya), aparatos sanitarios marca Roca etc.PRECIOSVivienda 1 dormitorios - desde 60,62 m2 - terraza 12,42 m2 –desde 57.800 € Vivienda 2 dormitorios - desde 77,86 m2 - terraza 11,26 m2 - desde 66.700 € Vivienda 3 dormitorios - desde 100,59 m2 - terraza 5,30 m2 - desde 83.500 €Posibilidad plazas de garaje y trastero a consultar.LOS MEJORES PRECIOS DE LA ZONA.Concertar visitas sin compromiso.Visita nuestra web:Teléfono de contacto, 961187651."" ";"Piso en venta en calle de l'alcalde blasco, 22, Doctor Palos - Alto Palancia, Sagunto/Sagunt";"57800";"60";"1";"4ª";"-0.2815986";"39.6841247"
"10";"https://www.idealista.com/inmueble/31450910/";" ""VEN Y TE INFORMAMOS DE TODAS TUS DUDAS.LOS MEJORES PRECIOS DE LA ZONA.Vendo pisos en Sagunto, SIN COMISION INMOBILIARIA.Pisos en venta de obra nueva de 1 a 3 dormitorios.Excelente promoción de viviendas de Obra Nueva en Sagunto, al Norte del Río Palancia.Espectacular edificio de 9 alturas y 163 viviendas de 1 a 3 dormitorios, con increíbles vistas al castillo, piscina con zona de niños y adultos, Garaje y trastero a consultar.Construido con calidades de 1ª: Cerramientos de climalit, puerta de entrada blindada, armarios empotrados forrados (Chapa madera de haya), aparatos sanitarios marca Roca etc.COMERCIALIZA HOGARES DEL PUERTO, SERVICIOS INMOBILIARIOS.Vivienda 1 dormitorios - desde 60,62 m2 - terraza 12,42 m2Vivienda 2 dormitorios - desde 77,86 m2 - terraza 11,26 m2Vivienda 3 dormitorios - desde 100,59 m2 - terraza 5,30 m2 PRECIOSVivienda 1 dormitorios - desde 60,62 m2 - terraza 12,42 m2 - desde 57.800 € Vivienda 2 dormitorios - desde 77,86 m2 - terraza 11,26 m2 - desde 66.700 € Vivienda 3 dormitorios - desde 100,59 m2 - terraza 5,30 m2 - desde 83.500 €Concertar visitas sin compromiso. 961187651/601033512.REF: CS-3002.Visita nuestra web:."" ";"Piso en venta en calle de l'alcalde blasco, 22, Doctor Palos - Alto Palancia, Sagunto/Sagunt";"83500";"100";"3";"2ª";"-0.2815986";"39.6841247"
