,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39663405, 96 m² construidos , 4 habitaciones , 2 baños , Segunda mano/buen estado , Armarios empotrados , Construido en 1975 , Certificación energética: en trámite ,,,,,,,,,, Planta 7ª , Con ascensor ,,, Jardín ,,,,,Calle de simón hernández, Urb. Urb. Villafontana , Distrito Sur , Móstoles ," Zona sur, Madrid ",,,,,188.240
39663601, 60 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: no indicado ,,,,,,,,,,, Planta 2ª exterior , Sin ascensor ,,,,,,,,"Paseo de Arroyomolinos, 9", Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,175.000
39667187, 78 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,,,,,, Bajo exterior , Sin ascensor ,,, Aire acondicionado ,,,,,"Calle Burgos, 8", Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,215.000
39667206, 224 m² construidos , Sin habitación , Sin baños , Plaza de garaje incluida en el precio , Segunda mano/para reformar , Certificación energética: en trámite ,,,,,,,,,,, Bajo exterior , Sin ascensor ,,,,,,,,Calle del pilar, Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,190.000
39668105," 80 m² construidos, 78 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,,,,,, Planta 4ª exterior , Con ascensor ,,,,,,,,"Calle de Isabel la Católica, 9", Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,139.000
39668164," 80 m² construidos, 78 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética:  (IPE no indicado) ,,,,,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Jardín ,,,,,"Calle de Isabel la Católica, 9", Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,78.000
39668553," 90 m² construidos, 80 m² útiles ", 3 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Orientación sur , Certificación energética: no indicado , Acceso adaptado a personas con movilidad reducida ,,,,,,,,, Planta 7ª exterior , Con ascensor ,,, Jardín ,,,,,"Calle Río Jarama, 10", Distrito Suroeste , Móstoles ," Zona sur, Madrid ",,,,,,[None]
39671843, 100 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/para reformar , Armarios empotrados , Orientación este , Certificación energética: en trámite ,,,,,,,,, Planta 7ª exterior , Con ascensor ,,,,,,,, Nazaret, Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,195.000
39675079," 149 m² construidos, 140 m² útiles ", 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación sur , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida , Vivienda apta para su uso por personas con movilidad reducida ,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,,, Distrito Sur , Móstoles ," Zona sur, Madrid ",,,,,,138.000
39675320, 110 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,,, Planta 7ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,513.000
39675327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.000
39677770, 90 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,Camino de humanes s/n, Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,426.000
39678069," 95 m² construidos, 90 m² útiles ", 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados ," Orientación norte, este ", Certificación energética: no indicado ,,,,,,,,, Planta 10ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Suroeste , Móstoles ," Zona sur, Madrid ",,,,,,430.000
39678908, 107 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,,, Bajo exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Sur , Móstoles ," Zona sur, Madrid ",,,,,,315.000
39679455," 105 m² construidos, 90 m² útiles ", 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados ," Orientación sur, oeste ", Construido en 2007 , Certificación energética: en trámite ,,,,,,,, Planta 2ª exterior , Con ascensor ,,, Aire acondicionado ,,,,, orion, Distrito Sur , Móstoles ," Zona sur, Madrid ",,,,,,465.000
39679965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.000
